Reviewer,Country,Title,Review Text,Date,Rating,Link
Bobby,GB,Through taxes Coca cola operations help…,"Through taxes Coca cola operations help to pay for the dreadful war in Ukraine, killing and maiming so many innocent people. Coca-cola please stop all activities in Russia.- now - or your red logo will come to be associated with the blood of children forever.","Mar 8, 2022",1,https://www.trustpilot.com/users/620e6eba3811580012107fdc
Tony Eales,GB,I used to like Coca Cola,"I used to like Coca Cola, but now it reminds me of Ukrainian blood. Get out of Russia, or commit commercial suicide.","Mar 8, 2022",1,https://www.trustpilot.com/users/6225386d6de8690012675687
Andrei Patrick Varga,GB,Disgusting communist company,"Disgusting communist company, f uck you","Mar 8, 2022",1,https://www.trustpilot.com/users/6227a6be4b2082001295fb75
Matthew Davie,GB,Supports the Russian invasion of Ukraine,,"Mar 8, 2022",1,https://www.trustpilot.com/users/609ec9f919623300192d1430
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
carl rowland,GB,Disgusting company can’t stand the…,Disgusting company can’t stand the thought of them operating in Russia whilst they are killing innocent children. Shame on you.,"Mar 8, 2022",1,https://www.trustpilot.com/users/620d6ada5c78bc00129e0b0e
Conor Kelly MMA,GB,Been drinking for 20 years,"Been drinking for 20 years, good bye you clowns 🤡","Mar 8, 2022",1,https://www.trustpilot.com/users/5f86203da547250019cf85d5
Jen Iffer,GB,Boycott coca cola until they get out of russia …,Boycott coca cola until they get out of russia #FCKPTN #no war we stand with ukraine 🇺🇦,"Mar 8, 2022",1,https://www.trustpilot.com/users/5b9a935b4de5666d34704451
Jenny Dunn,GB,STOP SUPPORTING PUTIN’S MURDER OF…,STOP SUPPORTING PUTIN’S MURDER OF UKRANIANS.,"Mar 8, 2022",1,https://www.trustpilot.com/users/5501a10f0000ff0001b0d5b6
Paula Edmundson,GB,You are disgraceful and should be…,You are disgraceful and should be utterly ashamed of yourselves.  Not everything is down to money you know.  There are principles involved and you have lost all of myself and my family as I won't be parting with 1p to support you ever again.  Evidently you are in Putins pocket.,"Mar 7, 2022",1,https://www.trustpilot.com/users/5acddb9b4de5666d342d4347
Ne,GB,Scum,Pull out of Russia you hypocritcal scum.No amount of Christmas commercials and sports sponsorship will ever clean the blood from your image.,"Mar 7, 2022",1,https://www.trustpilot.com/users/62266cf6c626d00012c0223c
Patrick,GB,Hello HELLO HELLO Coca Cola management…,Hello HELLO HELLO Coca Cola management please explain to me this minute why you are still involved in dealing with Russia? Come on get it sorted; do the right thing or we’ll all stop buying your products,"Mar 7, 2022",1,https://www.trustpilot.com/users/5bdf678a5db3cc2694ac0d99
Justin Yates,GB,I can not believe that you are still…,I can not believe that you are still still selling your products in Russia. Therefore I will not be buying your products in support of Ukraine.,"Mar 7, 2022",1,https://www.trustpilot.com/users/5af6b87b4de5666d347312c3
stephen turner,GB,Horrific company,"Horrific company, companies like this should be stripped of everything for continuing trade with Russia,Let’s not even talk about what it does to your body.Disgusting,","Mar 7, 2022",1,https://www.trustpilot.com/users/58c26a4e0000ff000a8015eb
King Curry,GB,At the age of 66,"At the age of 66, my son finally persuaded me to try a Coke.I can only say that, if it was a choice between drinking another Coke or eating the contents of an overflowing dog waste bin, I'd have to think seriously.Coke is one of the most disgusting things I've ever consumed.","Mar 7, 2022",1,https://www.trustpilot.com/users/5c0c5d783ae2003b36de1c15
Oleg Sukmanyuk,CA,Coca Cola now still sells products in…,"Coca Cola now still sells products in Russia, so they supports war and terrorism","Mar 6, 2022",1,https://www.trustpilot.com/users/6225039eef541f0012869b41
Jonah,GB,A nasty taste left in the mouth…,"A nasty taste left in the mouth…. could be the drink, could be the morally-bankrupt ethics of continuing to trade in Russia… will completely avoid until that bad taste is removed","Updated Mar 6, 2022",1,https://www.trustpilot.com/users/5870d7480000ff000a69b570
Agne Kuzmickaite,GB,Avoid!!!!!,It says a lot about the company when profit supersedes human lives!!,"Mar 5, 2022",1,https://www.trustpilot.com/users/62234a709412990012526c51
Simas Žąsytis,GB,Buying CoCa Cola = supporting killing…,Buying CoCa Cola = supporting killing inocent people in Ukraine.,"Mar 5, 2022",1,https://www.trustpilot.com/users/5dda623c29d77765487345dc
Nik Ageenko,UA,Coca-cola collaborates with Russia…,Coca-cola collaborates with Russia which today means that it sponsors terrorism in UA.,"Mar 4, 2022",1,https://www.trustpilot.com/users/5d66965c48da2a743dfa8ec2
Alla Koroshchenko,GB,Shame on you Coca Cola,Love Coca Cola!,"Updated Mar 10, 2022",5,https://www.trustpilot.com/users/5548d2880000ff0001bcd9bc
Ruslan Djamaldaev,GB,Finally!,Thank you for leaving russia!,"Updated Mar 10, 2022",5,https://www.trustpilot.com/users/5d9b374b885a2238e7815377
wasbi,LV,This is one of biggest plastic…,"This is one of biggest plastic polluting companies in the world, and they wont use glass botles because people buy plastic ones and they make more money that way.Also they changed recipe to not use sugar and instead artificial sweetener. Noone knows what health problems this will cause after 20 years. And it was all for profit.This company is a monopoly that should be split up.","Feb 15, 2022",1,https://www.trustpilot.com/users/620bb175eba3b10012099526
Rodrigo,GB,They should bring the old recipe,They should bring back the old recipe,"Updated Feb 3, 2022",3,https://www.trustpilot.com/users/61fbd023caa4e000137f470e
Velislav Blažič,HU,It has made my date many times and I…,"It has made my date many times and I use it to calm my nerves a number of times, there has been a number of times I use to quench my thirst and even when I'm hungry it's the fastest drink I could a way catch up with.","Feb 1, 2022",5,https://www.trustpilot.com/users/61f9270f8c89720012801a73
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
Pavlina Hudec,HU,Coke has always been my favorite soda,"Coke has always been my favorite soda - great fizzy taste. However, something has happened, and every time I crack open a Coke, it’s flat.","Jan 24, 2022",5,https://www.trustpilot.com/users/61ee99b216668700129757b5
Peggy Tripp,US,Coca-cola needs to go back to Coke…,Coca-cola needs to go back to Coke Zero. The new CC No Sugar is not good and there is a definite difference between the two brands. Very disappointed that I can no longer find Coke Zero on shelves. Will NOT be buying anymore Coke products. CC needs to stop rebranding and stick to what works.,"Jan 10, 2022",1,https://www.trustpilot.com/users/61dc3df9e1fa2a0012772fa3
Brian Dickie,NZ,'Win with Coca Cola' I believe was a…,"'Win with Coca Cola' I believe was a competition that has been rigged or staged by the company. I have been entering every code from every label on every bottle of coke I have consumed (1770) entries in the $10,000 summer cash draw. Draw ended on 01/01/2022 with absolutely no published results that I can find... So who was the Winner, from where???","Jan 5, 2022",1,https://www.trustpilot.com/users/61d54eb32d93660012608bd6
Shea,US,I LOVE COKE it may seem like any other…,I LOVE COKE it may seem like any other soda but it is not. When you are sad mad happy tired or anything in between coke IS that answer the second it hits ur taste buds everything is all ok it’s not Pepsi not Dr Pepper ITS COKE nothing can compare and people say “oh it’s soda” “oh it’s pop” NO ITS COKE they are different bc coke is always there when no one else is,"Jan 3, 2022",5,https://www.trustpilot.com/users/61d2fa5a1261ae0015630ef7
Mathis Fernandez,US,I love coca cola,,"Dec 30, 2021",5,https://www.trustpilot.com/users/61cd5d13ff52fc0012fca5c7
Maria Farrington,US,Coca-Cola in the fridge,"Coca-Cola in the fridge, in my opinion, is a terrific way to live. I really enjoy the fact that they sell decaf diet coke in cans.","Dec 24, 2021",5,https://www.trustpilot.com/users/61a789c6e9b22a0012769442
Davina Boyle,GB,Con artists,"Con artists, tell you to return rhe coca cola cans that im not happy  with, they send you a returns form so you go to the post offive with you 4cases of 24 cans and you get told it will cost you £28 just 2send back 2cases so £56 they want me to pay to return £43 worth of undrinkable cola, total con, ive decided to givd to coca cola away for free as im jot payin £56 to return coca cola that i only paid £43 for, as large company you should be ashamed about how you treat a 45year old coca cola drinker, dodgy company","Dec 23, 2021",1,https://www.trustpilot.com/users/5fa9714ae0be19001bafe46d
Kevin Yoder,US,I'm a big fan of the new Coke Zero…,I'm a big fan of the new Coke Zero Sugar flavour! It's a million times better than the original Coca-Cola Zero!I'm hoping they maintain it this way and don't modify it!,"Dec 20, 2021",5,https://www.trustpilot.com/users/61a78855b7c8e500133e3764
bill clinton,GB,RACIST RACIST RACIST RACIST,,"Dec 16, 2021",1,https://www.trustpilot.com/users/61bb263cf3e60f0012cf2249
redcongear,US,I am a facility manager over a big…,"I am a facility manager over a big medical complex in North Ga. I had driver ""trainer"" park a 18 wheeler across my parking lot today  blocking in the patients that go to this building. They left the truck in the middle of a parking lot jacked knifed and got upset when I told him that he couldn't leave it and refused to move it due to his driver being new.. The ""trainer"" a heavy set guy, was extremely unprofessional and was very disrespectful and ignored the delivery entrance signs that were posted everywhere.plate number  Wlk393. I wish I could post pictures because I have more than a few to show the lack of skill and caring. You guys need to fix yourselves.","Updated Dec 21, 2021",1,https://www.trustpilot.com/users/61b7bd49a33af40012351b5a
mada misu,GB,"I’m very disappointed,I have bought 2…","I’m very disappointed,I have bought 2 bottles of diet coke after consuming I put it in the fridge and when I looked at the bottle was having white bits in it.I’m feeling sick.","Dec 7, 2021",1,https://www.trustpilot.com/users/615807b646bc2a001212bb61
Ceri,GB,Customer service happy to embarrass the customer,Raised an issue re multi pack of Coke Zero being flat.  Initially customer service appeared great..promised vouchers.  £6 vouchers arrived - didn’t cover the cost of the multipack but still a gesture is a gesture..unfortunately when took to redeem in Asds the computer said no…said they were expired.  Emailed Coke re the embarrassment…their response was try in another major supermarket… hmmm decided to cut my losses and not bother.,"Dec 1, 2021",1,https://www.trustpilot.com/users/5c2a8d5a0b426b7b278a4686
Nichola Pemberton,GB,Having Coca Cola in the fridge is good…,Having Coca Cola in the fridge is good living in my opinion. I especially like that they do de-caf diet coke in cans.,"Nov 27, 2021",5,https://www.trustpilot.com/users/6166f240afdd3d00129638e5
Mary Dortch,US,0 for Coca-Cola zero sugar drink and my son's,I give it a zero,"Nov 20, 2021",1,https://www.trustpilot.com/users/61984fc068c623001706b060
Patty Newgent,US,"Have been drinking Coke for years,last…","Have been drinking Coke for years,last couple years it has really changed and I will be looking for something else,whatever they use to sweeten it now is all you can taste.Bye Bye Coke!","Nov 19, 2021",1,https://www.trustpilot.com/users/619702b2e341830012a18a71
SMirnov S,UA,I like it so much 😉,,"Nov 17, 2021",4,https://www.trustpilot.com/users/619448ec048fa70012e934c1
Dima K,CY,super i like coca cola!,,"Nov 9, 2021",5,https://www.trustpilot.com/users/614cc973eb61830012e54d8e
Rylan Grimme,US,The product they produce is great but…,"The product they produce is great but the effect it has on our planet. Not so much. Just because they have expressed an opinion that is not yours does not mean they are Satan, even though I don't personally agree with them. Coke is not going to prevent you from buying there product if you are white like me.","Updated Oct 29, 2021",3,https://www.trustpilot.com/users/616877c0e9e3830012582580
Jay Singh,GB,More glass bottle option,"Smart water recycled plastic is great, how about some real affirmative action. Glass water option absent so iv now cancelled my auto pay. Multi billion dollar might not care but atleast I'm doing  more than just slogans.  Coca cola has a bigger reach, however to not reflect on the carbon footprint on even recycled plastic is questionable to say the least no glass bottle option on Smart water is no option at all.","Oct 24, 2021",1,https://www.trustpilot.com/users/5ee0ced3ca90e46e0a78cfd2
Greedy sandman,US,☠️ poison…..,,"Oct 19, 2021",1,https://www.trustpilot.com/users/616ea9b6edc8720012d72849
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
Affelstann,US,Delicious,Delicious! And always cheap and affordable.,"Oct 10, 2021",5,https://www.trustpilot.com/users/616322f5c320780012493107
Charlie Anderson Year,GB,coca cola,"wangwan, coca cola is amazing","Oct 4, 2021",5,https://www.trustpilot.com/users/615b06ee5a55960012ba9eb2
Anna Ashton,GB,The new Coke Zero (2021) is awful,"The new Coke Zero (2021) is awful. Really bad taste, not even close to original coke. It tastes just as bad as the current Diet Coke. I don’t know who they are using for their tasting but they need to be fired! Also, scrap the aspartame, it’s given a lot of people a lot of stomach pain. And people with and without gut issues have stated this. Coke Zero still needs to be sweet and tasty. Not bitter and vile.","Oct 2, 2021",1,https://www.trustpilot.com/users/5a47b6340000ff000af8a0df
Dharam Motwani,AM,Coca cola also cheating people,,"Sep 29, 2021",1,https://www.trustpilot.com/users/5b76fac44de5666d340ef71a
Cora ChosenbyGod Martin,US,Well We Should Have Known That If…,Well We Should Have Known That If Something Is Really Good It Will Change Soon' That Coke Zero Was Excellent When It First Came Out' Now It Taste Like Cheap Soda Water' And It's Flat' Well I Will Not Be Buying This Product Any More'✌️✌️✌️,"Sep 28, 2021",1,https://www.trustpilot.com/users/61537510483d88001298b591
Littlet Westmoreland,US,I am disappointed with the new Coke…,I am disappointed with the new Coke Zero. The taste is not as sharp and crisp as the first Coke Zero.,"Sep 22, 2021",1,https://www.trustpilot.com/users/6144bd27f7e65e00128e5d82
Samuel o,US,Hi I am today's bubble buster I have a…,"Hi I am today's bubble buster I have a very big problem that really need to be fixed I am having a problem keeping good product on the shelves with good dates see, family dollar I believe sales the most cokes I know I buy cokes from family dollar every day I'm the one who helps the one letters sale out in jacksonville and ft.pierce any I'm going to say it straight the corporate stores are being loaded with out dates that all I'm saying oh wait ..my cake is bad fast bad out dated bad thank you as I would like to believe you all will fix it thank you and we need one letter zero coke on the family dollar selves thank you","Sep 11, 2021",1,https://www.trustpilot.com/users/605f6463edb1d50019fa3a50
Ariel Gregs,ZA,Why did you have to discontinue with…,"Why did you have to discontinue with Coke Life in SA! When you finally make something healthier, you stop its sales.","Sep 9, 2021",3,https://www.trustpilot.com/users/613a03b46f280c00133c2496
Cliffort Dela Cuesta,PH,Every meal deserves a bottle of coke in…,Every meal deserves a bottle of coke in hand,"Sep 5, 2021",5,https://www.trustpilot.com/users/613440645a504600120df7fb
Mandy Mclain,US,I am not sure if this is the coca cola…,I am not sure if this is the coca cola company in pocatello. But I figured I would just say it on many different times I have been cut off by the trucks that are not using turn signals I am concerned that they are going to cause an accident I really do just want them to be more careful,"Aug 27, 2021",1,https://www.trustpilot.com/users/612901ccfebf8500120481b5
Marien Blackharth,US,I cannot believe Coca-Cola wanted to…,"I cannot believe Coca-Cola wanted to get involved in this...I find it hard to believe that Coca-Cola wanted to get political. I will never act or be less white than I am. As well, I promise myself to never ever buy Coca-Cola products in my entire life again","Aug 19, 2021",1,https://www.trustpilot.com/users/611e2b0fe41e4100129a2e1a
Marla Brown,US,better of going of brand,"better of going of brand, coke now days just sucks","Aug 16, 2021",1,https://www.trustpilot.com/users/611a52362045750012e48652
Erik,SE,Taste really cheap,"Taste really cheap. What happened? Poor taste, might aswell just drink fizzy water.","Aug 12, 2021",1,https://www.trustpilot.com/users/61154e086d2e0b001278d489
Joshua Fields,AU,Less sugar and you'll be fine,Less sugar and you'll be fine. I buy a sugar-free drink and it's actually very sweet.,"Aug 11, 2021",4,https://www.trustpilot.com/users/6107c997c3becc001262b798
Richard Henry,US,This company 8s lucky it doesn't have a…,This company islucky it doesn't have a law suit. They should be less sugar and not red. Coke sux,"Updated Aug 11, 2021",1,https://www.trustpilot.com/users/6113c53270c8830012df292b
Faz Hussain,GB,Stopped my children purchasing this…,"Stopped my children purchasing this product as it's very poisonous even without the sugar, now banned in the household. If you're looking for a very cheap toilet cleaner then this is it unless you want your children to grow up with weak bones and organ failure.","Aug 9, 2021",1,https://www.trustpilot.com/users/5a4ee1c10000ff000afb1dd4
00 00,NL,No taste at all taste cheap,,"Jul 30, 2021",1,https://www.trustpilot.com/users/5f196bb97876fd6343a1e444
Christian,DK,Coca Cola apparantly thinks every white…,Coca Cola apparantly thinks every white person is a racist while bootlicking China... Great job at being woke racists!,"Jul 29, 2021",1,https://www.trustpilot.com/users/5a3cd7950000ff000af4f4e2
Daoud Khan,GB,Rots your insides and teeth bones etc,Rots your insides and teeth bones etc . It's a cleaning dergent,"Jul 25, 2021",1,https://www.trustpilot.com/users/60fd75b8fd7c810012b74753
Imran,GB,Pure POISON for your body,Pure POISON for your body. Avoid at all costs!,"Jul 25, 2021",1,https://www.trustpilot.com/users/4f745d1a000064000116bfe3
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
N Akhtar,GB,Great if you want to use as a cleaning…,Great if you want to use as a cleaning product but not for consuming.,"Jul 24, 2021",1,https://www.trustpilot.com/users/60fc8d0b3726400012d4c26d
T Hussain,GB,Truly Awful,Truly awful drink. No kid or adult should be drinking this filth,"Jul 24, 2021",1,https://www.trustpilot.com/users/54afad0c0000ff0001a2f045
Foyzur Rahman,GB,Poisonous,Poisonous - for your body and for your ethics.,"Jul 24, 2021",1,https://www.trustpilot.com/users/59f648ca0000ff000adb92f9
David Jackson,US,I can’t believe Coca-Cola wanted to get…,I can’t believe Coca-Cola wanted to get political. I will never be less white or act less white. I also will never buy Coca-Cola products again in my entire life,"Jul 24, 2021",1,https://www.trustpilot.com/users/60fc36c4602c5f0011a52f39
Sharon,GB,Poison,Poison. Addictive. Scientists have condemned this drinks ingredients but surprised they still selling their poison. Leave the Coca Cola in the bathroom it will clean the limescale away,"Jul 24, 2021",1,https://www.trustpilot.com/users/60f00322a4af2d001283125a
Tbone Steak,GB,You've seen what Ronaldo said,You've seen what Ronaldo said. You can clean dirty car engines with this stuff. It's like an acid. Imagine what happening to your inside and teeth. Get this out of your home don't mess your health and families health up,"Jul 24, 2021",1,https://www.trustpilot.com/users/5f561510fb6952069d5addea
Ash,GB,Cocacaina?,Would not be surprised if it turns out one of the secret ingredients is cocaine or something equally dangerous and addictive! Tastes great but very harmful to health.,"Jul 24, 2021",1,https://www.trustpilot.com/users/5ed64a8ef160b4c84dcbabde
Rashid,GB,Don't waste your moneyband health,,"Jul 24, 2021",2,https://www.trustpilot.com/users/566091c50000ff0001efeb60
angellicuk,GB,A harmful drink which has zero health…,A harmful drink which has zero health benefitsRelying in fancy ads in order to sell you this poisonous concoction,"Jul 24, 2021",1,https://www.trustpilot.com/users/60fb4eaa5380fe0012a4a47c
ANWAR SABAR,GB,The secret recipe of this poisonous…,The secret recipe of this poisonous substance is kabala magic. It destroys the health and corrupts the minds while raising funds for genocide❗,"Jul 24, 2021",1,https://www.trustpilot.com/users/5e21a133013d41758624309e
Ismail,GB,No Corporate Responsibility,No corporate responsibility for human rights and international law violations.  Will not buy and will encourage others to boycott Coca-Cola products.  Sporting federations should not allow such sponsorship deals.  Would have given zero if that was possible.,"Jul 24, 2021",1,https://www.trustpilot.com/users/5f3c4e9165d92153fc9c619a
K A,GB,Harmful to society,"Harmful to society, making money from a joyful moment to support unethical movements","Jul 23, 2021",1,https://www.trustpilot.com/users/60fb4417564b2c0012abe110
Sayeed Ahmod,GB,Cancer causing drink,,"Jul 23, 2021",1,https://www.trustpilot.com/users/60fb4957cc82900012748e94
Ilyas,GB,Nasty Stuff,"Nasty Stuff. This is a horrible drink. Tastes nasty. To be honest, I don’t like any of their drinks, whether it is Coke, Sprite or Fanta, they all taste horrible.","Jul 23, 2021",1,https://www.trustpilot.com/users/60fb4226564b2c0012abe032
Safyah,GB,Poison,"Poison. Literally poison. Absolutely shocked this item isnt illegal to sell. They just beautifully package a product that has NO health benefits, however destroys the human body. My sister used to be an avid drinker, she is under 40. NO heart problems in our family ever, she required a pacemaker after her heart started failing. Doctor said that was the second person with no family history of heart problems, that drank coke and required a pacemaker!Well done to the likes of Ronaldo for refusing to endorse this poison.","Jul 23, 2021",1,https://www.trustpilot.com/users/60eaa638a538e1001265635e
Adam,GB,Totally disgusting stick to water,,"Jul 23, 2021",1,https://www.trustpilot.com/users/604e0e828a33b4001bdc30dd
Akeel Ahmed,GB,It’s great for cleaning toilets,It’s great for cleaning toilets. So many chemicals,"Jul 23, 2021",1,https://www.trustpilot.com/users/60fb20e1cc82900012747c66
Abu Abdullah,GB,Dangerous for kids,Dangerous for kidsThis Acid called coca cola has made my teeth rotten and ruined my liver and kidneys.Im sure its made me addicted to pop for long termDont buy this acid and dont let your children drink it!,"Jul 23, 2021",1,https://www.trustpilot.com/users/60fb1fc6a7052d00127845f0
Dave,GB,👎🏼 shame,"Big links with genocide and oppression, avoid such companies","Updated Mar 25, 2025",1,https://www.trustpilot.com/users/58e3b14f0000ff000a897957
BLAME_THE_PAD,GB,Disgusting how they can support Zionism…,Disgusting how they can support Zionism and genocide! Also their product is literal poison,"Jul 23, 2021",1,https://www.trustpilot.com/users/60fac66d564b2c0012aba044
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
Shahid,GB,Ideally should be used as toilet…,Ideally should be used as toilet cleaner....but cheaper alternatives available...🚽,"Jul 23, 2021",1,https://www.trustpilot.com/users/60faf5a8602c5f0011a49f65
Ruhul Amin,GB,Really bad taste,,"Jul 23, 2021",1,https://www.trustpilot.com/users/60faf25a3856b30012be4726
SYED ALI,GB,Very unhealthy,,"Jul 23, 2021",1,https://www.trustpilot.com/users/60fadc5396a2d000122b54bf
a ali,GB,Poor taste no longer decent taste,,"Jul 23, 2021",1,https://www.trustpilot.com/users/548f8fe100006400019dd9fe
Aldo Martinelli,GB,Tasty,"TastyNot healthy , but very addictive .Try Cola!","Jul 9, 2021",5,https://www.trustpilot.com/users/60a4e76c150c7d001966facd
DJ,GB,The single most dangerous and unhealthy…,The single most dangerous and unhealthy product sold in the US. There are things much less toxic than Coke that are ILLEGAL to sell for human consumption.And yet people drink this poison and think they won't shorten their lives. That is truly sad.,"Jun 29, 2021",1,https://www.trustpilot.com/users/4e71d94700006400010c1e31
TrevorDG,GB,Coca Cola,Coca Cola. It's great for cleaning old coins up like new. Try it. Not sure I would want to drink it anymore honestly though. Before or after using it to clean coins up with.I found out something new the other day. Would not have believed it till tried it. If you've a blocked bathroom sink due to hair then pour a medium sized bottle of Coke down it. Overnight it unblocks the sink. I was paying pounds and pounds for proper sink unblockers to no use. Lady overheard who is a salon hair worker. She told me the trick of her trade. I tried it and Coke works indeed to unblock tough blockages of sink.,"Updated Jul 30, 2021",3,https://www.trustpilot.com/users/57d431800000ff000a432a37
C Evans,US,Woke,"It's really hard to ""Enjoy"" when the liquid is burning my throat.  Too woke of a company.  I'll find another soda or just drink water.  This brand isn't worth it.","Jun 21, 2021",1,https://www.trustpilot.com/users/60cfdfe945d061001a0613d9
Kunde,DK,FREE PALESTINE,"FREE PALESTINE.Supporting genocide 👎👎👎👎 as CR7 said, AGUAALL THE WAY.","Jun 20, 2021",1,https://www.trustpilot.com/users/5e99e723a222f447bb64b6d3
Jessica De Palma,CA,Is Coca-Cola bad for you,"Is Coca-Cola bad for you? People consider sugary drinks to be a significant contributor to many health conditions, including obesity, type 2 diabetes, and tooth decay. Research has shown that drinking a can of Coca-Cola can have damaging effects on the body within an hour. They should have never started this business.","Jun 16, 2021",1,https://www.trustpilot.com/users/60ca83eb2b1b69001c048663
Kate Parker,GB,Not very healthy but I like the taste…,Not very healthy but I like the taste since childhood.,"Jun 15, 2021",3,https://www.trustpilot.com/users/60c8c6bea299a10019142724
Dawn Adkins,US,Racist company!,Racist company!! Ban Coca-Cola!,"Jun 13, 2021",1,https://www.trustpilot.com/users/60c54bc8041480001be9056f
Gavin,GB,From then until now,"From then until now, I love this drink though.Coca Cola is a great company!","Jun 12, 2021",5,https://www.trustpilot.com/users/60c4a6fa041480001be8b8cf
Tammy Lynn,US,I loved your Coca Cola products right…,I loved your Coca Cola products right up until you designed a Coca Cola can stating to be less white.  Well I was born white that is how GOD made me I will not apologize for it.  My money will no longer be spent on products that are made by a Racist company.,"Jun 12, 2021",1,https://www.trustpilot.com/users/60c49c00c262a5001a58fb41
Calvin Allsbrooks,US,Do not buy anything from Coca-Cola with…,Do not buy anything from Coca-Cola with a debit card they’ll charge you $2.25 to buy one drink extra,"Jun 11, 2021",1,https://www.trustpilot.com/users/60c3a6511873c4001b2042c7
Coca-Cola racist,US,Coca Cola is my favorite drink,Coca Cola is my favorite drink. I hate to think about giving it up but if Coca Cola is gonna be the racist drink company telling people not to be white than I’d rather drink gross Pepsi. I will not stand by and promote your racist thoughts. Farewell Coca cola,"Jun 10, 2021",1,https://www.trustpilot.com/users/60c2981a041480001be7a87a
Jack Jacky,PR,Not healthy but ok,,"Jun 5, 2021",3,https://www.trustpilot.com/users/60bc030f293015001926a375
Jen,US,Get woke,Get woke. Go broke.,"Jun 4, 2021",1,https://www.trustpilot.com/users/60ba4e23293015001925c6fc
Steve and Becky,US,I'm stocking up on Coke,I'm stocking up on Coke! Do not want to run low. Love Coke. Always have. They are not racist...,"Jun 4, 2021",5,https://www.trustpilot.com/users/60ba2c5e9110c3001a8fef54
PaniniPaint,GB,Delicious on a summer afternoon,"Obviously you'd prefer a nice cold beer, but if you're driving, Coca-Cola is the best, most tasty non-alcoholic beverage you can enjoy.","Jun 1, 2021",4,https://www.trustpilot.com/users/60b6c1faadeb930019d19653
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
J B,DK,Bye coke,Thanks to Coca Cola I have become healthier. Because since their racism was exposed I haven't drank a single coke or any other product owned by this company. :),"Jun 1, 2021",1,https://www.trustpilot.com/users/60b687051261ee0019fe2a94
Zachary Zimmerman,US,Coca Cola is a joke,Coca Cola is a joke.  I’m far from racist but I’m telling you this bullsh*t keeps happening and it’s making me racist.  Fblm.  And black people doesn't deserve more or less than anyone else in this world we are all equal.,"May 31, 2021",1,https://www.trustpilot.com/users/60b54ab23b3f04001a44472b
Kyle,US,"Hey coke,","Hey coke,I’m white, sorry about that.I know you don’t care about us. Maybe if all of us stop buying your products you can respect us again as regular humans. Or better yet as customers. Most of us don’t give a sh!t about what you believe! Just do your job; make and sell soft drinks.No worries though pepsi is just as good.😉","May 29, 2021",1,https://www.trustpilot.com/users/60b18f00dc4297001a938761
Migoo Abd,GB,Never again,Never againSupporter  of terrorism and genocide,"May 28, 2021",1,https://www.trustpilot.com/users/60b1584432a8d500194be7fc
Ratio,SE,Too white,"Ok, so I am white. Probably too white, ok? Probably I am too bad a person, I dont  deserve your fine products? I promise, I will never buy a coca Cola again in my life, Im sorry for my skin color.........","Updated May 22, 2021",1,https://www.trustpilot.com/users/60a96c5331a9250019b3ed41
Mia,SE,Worst drink I ever tasted......oh,"Worst drink I ever tasted......oh, and I am white!","May 22, 2021",1,https://www.trustpilot.com/users/603ce3a14de76c001a1942bd
